CNES - Recursos Físicos - Urgência - Leitos de Repouso / Observação - Brasil
Leitos Repouso/Observação Indif por Município e Região
Período:Fev/2020
"Município";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"110037 Alto Alegre dos Parecis";1;-;-;-;-;1
"110034 Alvorada D'Oeste";4;-;-;-;-;4
"110002 Ariquemes";16;-;-;-;-;16
"110045 Buritis";13;-;-;-;-;13
"110003 Cabixi";3;-;-;-;-;3
"110004 Cacoal";18;-;-;-;-;18
"110006 Colorado do Oeste";3;-;-;-;-;3
"110008 Costa Marques";2;-;-;-;-;2
"110094 Cujubim";11;-;-;-;-;11
"110009 Espigão D'Oeste";6;-;-;-;-;6
"110100 Governador Jorge Teixeira";1;-;-;-;-;1
"110010 Guajará-Mirim";6;-;-;-;-;6
"110011 Jaru";2;-;-;-;-;2
"110012 Ji-Paraná";32;-;-;-;-;32
"110120 Ministro Andreazza";2;-;-;-;-;2
"110130 Mirante da Serra";2;-;-;-;-;2
"110140 Monte Negro";5;-;-;-;-;5
"110033 Nova Mamoré";6;-;-;-;-;6
"110143 Nova União";4;-;-;-;-;4
"110050 Novo Horizonte do Oeste";1;-;-;-;-;1
"110015 Ouro Preto do Oeste";1;-;-;-;-;1
"110018 Pimenta Bueno";5;-;-;-;-;5
"110020 Porto Velho";83;-;-;-;-;83
"110025 Presidente Médici";8;-;-;-;-;8
"110028 Rolim de Moura";5;-;-;-;-;5
"110150 Seringueiras";2;-;-;-;-;2
"110175 Vale do Anari";1;-;-;-;-;1
"110180 Vale do Paraíso";5;-;-;-;-;5
"110030 Vilhena";18;-;-;-;-;18
"120001 Acrelândia";2;-;-;-;-;2
"120020 Cruzeiro do Sul";5;-;-;-;-;5
"120030 Feijó";5;-;-;-;-;5
"120033 Mâncio Lima";6;-;-;-;-;6
"120034 Manoel Urbano";3;-;-;-;-;3
"120038 Plácido de Castro";3;-;-;-;-;3
"120040 Rio Branco";42;-;-;-;-;42
"120050 Sena Madureira";5;-;-;-;-;5
"120045 Senador Guiomard";6;-;-;-;-;6
"120070 Xapuri";3;-;-;-;-;3
"130008 Anamã";3;-;-;-;-;3
"130020 Atalaia do Norte";3;-;-;-;-;3
"130030 Autazes";8;-;-;-;-;8
"130068 Boa Vista do Ramos";3;-;-;-;-;3
"130070 Boca do Acre";2;-;-;-;-;2
"130083 Caapiranga";2;-;-;-;-;2
"130110 Careiro";3;-;-;-;-;3
"130120 Coari";8;-;-;-;-;8
"130150 Envira";1;-;-;-;-;1
"130170 Humaitá";1;-;-;-;-;1
"130180 Ipixuna";3;-;-;-;-;3
"130185 Iranduba";2;-;-;-;-;2
"130190 Itacoatiara";13;-;-;-;-;13
"130195 Itamarati";2;-;-;-;-;2
"130200 Itapiranga";2;-;-;-;-;2
"130210 Japurá";4;-;-;-;-;4
"130220 Juruá";1;-;-;-;-;1
"130230 Jutaí";2;-;-;-;-;2
"130240 Lábrea";5;-;-;-;-;5
"130260 Manaus";300;-;-;-;-;300
"130270 Manicoré";8;-;-;-;-;8
"130290 Maués";8;-;-;-;-;8
"130300 Nhamundá";9;-;-;-;-;9
"130320 Novo Airão";5;-;-;-;-;5
"130340 Parintins";4;-;-;-;-;4
"130350 Pauini";2;-;-;-;-;2
"130356 Rio Preto da Eva";6;-;-;-;-;6
"130360 Santa Isabel do Rio Negro";4;-;-;-;-;4
"130370 Santo Antônio do Içá";6;-;-;-;-;6
"130380 São Gabriel da Cachoeira";20;-;-;-;-;20
"130395 São Sebastião do Uatumã";1;-;-;-;-;1
"130410 Tapauá";6;-;-;-;-;6
